algorithm,output_weight_count,hidden_width,q_dimension,n_train,n_test,n_features,n_classes,epsilon,converged,iterations,computational_time_seconds,final_gradient_norm,alpha,beta
LDLT,10000,1000,1001,1347,450,64,10,0.001,True,0,0.5152495840011397,7.156277791262246e-15,,
Heavy Ball,10000,1000,1001,1347,450,64,10,0.001,True,488,0.6355470409980626,0.0006885929411868441,0.026582924638535815,0.9676572876423605
Nesterov,10000,1000,1001,1347,450,64,10,0.001,True,557,0.3902870830024767,0.0009938712263956556,0.006755424482428215,0.9836957291979875
LDLT,25000,2500,2501,1347,450,64,10,0.001,True,0,3.0333984999997483,1.1347197496398096e-14,,
Heavy Ball,25000,2500,2501,1347,450,64,10,0.001,True,819,2.637710374998278,0.000790783489792243,0.010370106069491028,0.9797369575119669
Nesterov,25000,2500,2501,1347,450,64,10,0.001,True,922,3.0541390840007807,0.0009945639420273172,0.0026191301922006407,0.989816628225636
LDLT,50000,5000,5001,1347,450,64,10,0.001,True,0,16.766937166998105,2.6544678323325544e-14,,
Heavy Ball,50000,5000,5001,1347,450,64,10,0.001,True,1150,10.210105332997045,0.0008406354854762884,0.005269517583094346,0.9855344065947419
Nesterov,50000,5000,5001,1347,450,64,10,0.001,True,1361,16.515036624998174,0.0009952236766950769,0.0013269947606584429,0.9927408557094555
LDLT,100000,10000,10001,1347,450,64,10,0.001,True,0,95.55471225000292,6.015929086961675e-14,,
Heavy Ball,100000,10000,10001,1347,450,64,10,0.001,True,1749,82.99418795800011,0.000786424697262534,0.0025905271494232394,0.989846460985241
Nesterov,100000,10000,10001,1347,450,64,10,0.001,True,2004,173.8182466670005,0.0009958130361428787,0.0006509406788440313,0.9949102778568734
